Strategy,Total,Pit in Laps
2-stop S→S→M   ,86:24.205,"[22, 44]"
2-stop S→M→S   ,86:24.205,"[22, 44]"
2-stop M→S→S   ,86:24.205,"[22, 44]"
2-stop S→S→M   ,86:24.286,"[21, 43]"
2-stop S→S→M   ,86:24.286,"[22, 43]"
2-stop S→M→S   ,86:24.286,"[21, 44]"
2-stop S→M→S   ,86:24.286,"[22, 45]"
2-stop M→S→S   ,86:24.286,"[23, 44]"
2-stop M→S→S   ,86:24.286,"[23, 45]"
2-stop S→S→M   ,86:24.287,"[22, 45]"
2-stop S→S→M   ,86:24.287,"[23, 45]"
2-stop S→M→S   ,86:24.287,"[22, 43]"
2-stop S→M→S   ,86:24.287,"[23, 44]"
2-stop M→S→S   ,86:24.287,"[21, 43]"
2-stop M→S→S   ,86:24.287,"[21, 44]"
2-stop S→S→M   ,86:24.340,"[21, 44]"
2-stop S→S→M   ,86:24.340,"[23, 44]"
2-stop S→M→S   ,86:24.340,"[21, 43]"
2-stop S→M→S   ,86:24.340,"[23, 45]"
2-stop M→S→S   ,86:24.340,"[22, 43]"
2-stop M→S→S   ,86:24.340,"[22, 45]"
2-stop S→S→M   ,86:24.395,"[21, 42]"
2-stop S→M→S   ,86:24.395,"[21, 45]"
2-stop M→S→S   ,86:24.395,"[24, 45]"
2-stop S→S→M   ,86:24.397,"[23, 46]"
2-stop S→M→S   ,86:24.397,"[23, 43]"
2-stop M→S→S   ,86:24.397,"[20, 43]"
2-stop S→S→M   ,86:24.530,"[20, 42]"
2-stop S→S→M   ,86:24.530,"[22, 42]"
2-stop S→M→S   ,86:24.530,"[20, 44]"
2-stop S→M→S   ,86:24.530,"[22, 46]"
2-stop M→S→S   ,86:24.530,"[24, 44]"
2-stop M→S→S   ,86:24.530,"[24, 46]"
2-stop S→S→M   ,86:24.532,"[22, 46]"
2-stop S→S→M   ,86:24.532,"[24, 46]"
2-stop S→M→S   ,86:24.532,"[22, 42]"
2-stop S→M→S   ,86:24.532,"[24, 44]"
2-stop M→S→S   ,86:24.532,"[20, 42]"
2-stop M→S→S   ,86:24.532,"[20, 44]"
2-stop S→S→M   ,86:24.556,"[20, 43]"
2-stop S→S→M   ,86:24.556,"[23, 43]"
2-stop S→M→S   ,86:24.556,"[20, 43]"
2-stop S→M→S   ,86:24.556,"[23, 46]"
2-stop M→S→S   ,86:24.556,"[23, 43]"
2-stop M→S→S   ,86:24.556,"[23, 46]"
2-stop S→S→M   ,86:24.557,"[21, 45]"
2-stop S→M→S   ,86:24.557,"[24, 45]"
2-stop S→S→M   ,86:24.557,"[24, 45]"
2-stop S→M→S   ,86:24.557,"[21, 42]"
2-stop M→S→S   ,86:24.557,"[21, 42]"
2-stop M→S→S   ,86:24.557,"[21, 45]"
2-stop S→S→M   ,86:24.667,"[20, 41]"
2-stop S→S→M   ,86:24.667,"[21, 41]"
2-stop S→M→S   ,86:24.667,"[20, 45]"
2-stop S→M→S   ,86:24.667,"[21, 46]"
2-stop M→S→S   ,86:24.667,"[25, 45]"
2-stop M→S→S   ,86:24.667,"[25, 46]"
2-stop S→S→M   ,86:24.670,"[23, 47]"
2-stop S→S→M   ,86:24.670,"[24, 47]"
2-stop S→M→S   ,86:24.670,"[23, 42]"
2-stop S→M→S   ,86:24.670,"[24, 43]"
2-stop M→S→S   ,86:24.670,"[19, 42]"
2-stop M→S→S   ,86:24.670,"[19, 43]"
2-stop S→S→M   ,86:24.745,"[20, 44]"
2-stop S→S→M   ,86:24.745,"[24, 44]"
2-stop S→M→S   ,86:24.745,"[20, 42]"
2-stop S→M→S   ,86:24.745,"[24, 46]"
2-stop M→S→S   ,86:24.745,"[22, 42]"
2-stop M→S→S   ,86:24.745,"[22, 46]"
2-stop S→S→M   ,86:24.935,"[19, 42]"
2-stop S→S→M   ,86:24.935,"[23, 42]"
2-stop S→M→S   ,86:24.935,"[19, 43]"
2-stop S→M→S   ,86:24.935,"[23, 47]"
2-stop M→S→S   ,86:24.935,"[24, 43]"
2-stop M→S→S   ,86:24.935,"[24, 47]"
2-stop S→S→M   ,86:24.937,"[19, 41]"
2-stop S→S→M   ,86:24.937,"[21, 46]"
2-stop S→S→M   ,86:24.937,"[22, 41]"
2-stop S→S→M   ,86:24.937,"[25, 46]"
2-stop S→M→S   ,86:24.937,"[19, 44]"
2-stop S→M→S   ,86:24.937,"[21, 41]"
2-stop S→M→S   ,86:24.937,"[22, 47]"
