Grand Prix,AVG_timestop
Australian Grand Prix,0 days 00:00:09.542283783
Chinese Grand Prix,0 days 00:00:12.410853658
Japanese Grand Prix,0 days 00:04:31.553648148
Bahrain Grand Prix,0 days 00:00:13.311534883
Saudi Arabian Grand Prix,0 days 00:00:12.730421052
Miami Grand Prix,0 days 00:00:11.703303571
Emilia Romagna Grand Prix,0 days 00:00:13.185418181
Monaco Grand Prix,0 days 00:13:49.724978260
Spanish Grand Prix,0 days 00:00:11.031895348
Canadian Grand Prix,0 days 00:00:12.859431818
Austrian Grand Prix,0 days 00:00:11.149663043
British Grand Prix,0 days 00:00:14.567119565
Belgian Grand Prix,0 days 00:00:11.538573529
Hungarian Grand Prix,0 days 00:00:10.647207317
Dutch Grand Prix,0 days 00:00:10.271962962
Italian Grand Prix,0 days 00:00:13.082233333
Azerbaijan Grand Prix,0 days 00:00:09.483229166
Singapore Grand Prix,0 days 00:00:14.840956521
United States Grand Prix,0 days 00:00:12.089479166
Mexico City Grand Prix,0 days 00:00:11.592772727
São Paulo Grand Prix,0 days 00:05:20.745588235
Las Vegas Grand Prix,0 days 00:00:09.094139240
Qatar Grand Prix,0 days 00:00:10.596175824
Abu Dhabi Grand Prix,0 days 00:00:09.281574074
